"region","departamento","municipio","vigencia","tipoentidad","entidad","sector","fuentefinanciacion","valorcomprometido","valorobligado","valorpagado"
"Caribe","Córdoba","Todo el Depto","2017","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","876661737.00000000","776622340.00000000","771448018.00000000"
"Andina","Bogotá, D.C.","Bogotá, D.C.","2018","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","1327281272.00000000","1184689746.52000000","1163146999.52000000"
"Caribe","Atlántico","Todo el Depto","2020","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Medicina Legal y Ciencias Forenses - Fiscalía","Fiscalía","PGN - Presupuesto General de la Nación","64397456.50000000","6848196.70000000","6848196.70000000"
"Pacífico","Valle del Cauca","Todo el Depto","2022","Privada","Recursos de Gestion por Gobernacion del Valle","Cultura","Propios de los privados","0.00000000","0.00000000","0.00000000"
"Andina","Santander","Los Santos","2024","Municipio","Los SantosSantander","Cultura","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Caribe","Atlántico","Todo el Depto","2023","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","35445123637.16000000","18083816310.42000000","18083796797.60000000"
"Orinoquía","Casanare","Yopal","2011","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","20145154.00000000","0.00000000","0.00000000"
"Pacífico","Cauca","Argelia","2022","Municipio","ArgeliaCauca","Educación","Propios de las entidades territoriales","46173600.00000000","46173600.00000000","46173600.00000000"
"Andina","Santander","Tona","2022","Municipio","TonaSantander","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Huila","Garzón","2021","Municipio","GarzónHuila","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","1244971325.00000000"
"Pacífico","Nariño","San Andrés de Tumaco","2011","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","278894334.99000000","225328670.86000000","190738065.00000000"
"Amazonas","Guaviare","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","247203163.00000000","244799488.00000000","242384820.00000000"
"Orinoquía","Meta","Todo el Depto","2019","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","584075646.00000000","0.00000000","0.00000000"
"Caribe","Bolívar","Hatillo de Loba","2021","Municipio","Hatillo de LobaBolívar","Cultura","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Huila","Algeciras","2023","Municipio","AlgecirasHuila","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","48129272.00000000"
"Andina","Boyacá","Briceño","2014","Municipio","BriceñoBoyacá","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Amazonas","Caquetá","Todo el Depto","2020","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","20377618890.00000000","20377618890.00000000","20377618890.00000000"
"Andina","Antioquia","Santo Domingo","2022","Municipio","Santo DomingoAntioquia","Gobierno Territorial","SGP - Sistema General de Participaciones","106317089.00000000","104506330.00000000","104506330.00000000"
"Orinoquía","Meta","Villavicencio","2019","Municipio","VillavicencioMeta","Cultura","SGP - Sistema General de Participaciones","218438124.00000000","171518125.00000000","127058125.00000000"
"Andina","Antioquia","Abriaquí","2021","Municipio","AbriaquíAntioquia","Planeación","SGP - Sistema General de Participaciones","67056600.00000000","67056600.00000000","67056600.00000000"
"Andina","Antioquia","Todo el Depto","2021","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","33623253714.83000000","30156178601.88000000","30156178601.88000000"
"Andina","Cundinamarca","La Peña","2021","Municipio","La PeñaCundinamarca","Gobierno Territorial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Antioquia","Todo el Depto","2019","Entidades Presupuesto Nacional - PGN","Agencia Nacional de Infraestructura - ANI - Transporte","Transporte","PGN - Presupuesto General de la Nación","20341711593.00000000","20341711593.00000000","20341711593.00000000"
"Andina","Antioquia","Caicedo","2025","Municipio","CaicedoAntioquia","Transporte","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Cundinamarca","Chía","2025","Municipio","ChíaCundinamarca","Trabajo","Propios de las entidades territoriales","392496428.00000000","76870650.00000000","76870650.00000000"
"Andina","Cundinamarca","Tausa","2024","Municipio","TausaCundinamarca","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Caribe","Córdoba","Todo el Depto","2020","Entidades Presupuesto Nacional - PGN","Ministerio del Interior - Interior","Interior","PGN - Presupuesto General de la Nación","4444445.00000000","0.00000000","0.00000000"
"Orinoquía","Meta","Granada","2023","Municipio","GranadaMeta","Transporte","Propios de las entidades territoriales","200000000.00000000","111638340.00000000","0.00000000"
"Amazonas","Guaviare","Todo el Depto","2024","Departamento","Guaviare","Gobierno Territorial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Amazonas","Caquetá","El Paujíl","2020","Municipio","El PaujílCaquetá","Planeación","Propios de las entidades territoriales","20066666.00000000","20066666.00000000","20066666.00000000"
"Caribe","Atlántico","Todo el Depto","2022","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","1524360389.00000000","0.00000000","0.00000000"
"Pacífico","Chocó","Todo el Depto","2012","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial Migracion Colombia - Relaciones Exteriores","Relaciones Exteriores","PGN - Presupuesto General de la Nación","227181426.00000000","227181426.00000000","227181426.00000000"
"Andina","Cundinamarca","Granada","2024","Municipio","GranadaCundinamarca","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Santander","Sucre","2019","Municipio","SucreSantander","Transporte","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Santander","Bucaramanga","2022","Municipio","BucaramangaSantander","Cultura","Propios de las entidades territoriales","203550545.00000000","0.00000000","0.00000000"
